BRUSHES
COUNT 2
Brush_0,0,0,0,assets/Sprites/Texture/TX Tileset Grass_0.sprite
Brush_1,0,0,0,assets/Sprites/Texture/TX Tileset Stone Ground_101.sprite
TILES
COUNT 90
23,21,0,0,0,0
27,19,1,0,0,0
31,17,0,0,0,0
25,18,0,0,0,0
29,16,0,0,0,0
26,16,0,0,0,0
24,17,0,0,0,0
22,22,0,0,0,0
30,18,0,0,0,0
28,19,0,0,0,0
23,18,0,0,0,0
21,19,0,0,0,0
25,17,0,0,0,0
27,16,0,0,0,0
31,18,0,0,0,0
29,19,0,0,0,0
20,20,0,0,0,0
28,16,0,0,0,0
30,17,0,0,0,0
24,18,0,0,0,0
26,19,0,0,0,0
25,19,0,0,0,0
31,16,0,0,0,0
27,18,1,0,0,0
29,17,0,0,0,0
22,20,0,0,0,0
30,16,0,0,0,0
28,17,0,0,0,0
26,18,0,0,0,0
24,19,0,0,0,0
23,19,0,0,0,0
21,18,0,0,0,0
24,16,0,0,0,0
30,19,0,0,0,0
26,17,0,0,0,0
28,18,0,0,0,0
31,19,0,0,0,0
29,18,0,0,0,0
27,17,0,0,0,0
25,16,0,0,0,0
21,16,0,0,0,0
31,21,0,0,0,0
23,17,0,0,0,0
22,15,0,0,0,0
30,20,0,0,0,0
22,16,0,0,0,0
23,16,0,0,0,0
21,17,0,0,0,0
30,22,0,0,0,0
22,18,0,0,0,0
21,14,0,0,0,0
23,15,1,0,0,0
21,15,0,0,0,0
23,14,0,0,0,0
22,17,0,0,0,0
22,19,0,0,0,0
24,15,0,0,0,0
26,14,0,0,0,0
27,14,0,0,0,0
25,15,0,0,0,0
26,15,0,0,0,0
24,14,0,0,0,0
25,14,0,0,0,0
27,15,0,0,0,0
22,14,0,0,0,0
28,14,0,0,0,0
30,15,0,0,0,0
31,15,0,0,0,0
29,14,0,0,0,0
31,14,0,0,0,0
29,15,0,0,0,0
28,15,0,0,0,0
30,14,0,0,0,0
31,20,0,0,0,0
25,22,0,0,0,0
29,20,0,0,0,0
27,20,0,0,0,0
29,22,0,0,0,0
25,20,0,0,0,0
23,20,0,0,0,0
21,20,0,0,0,0
24,20,0,0,0,0
26,20,0,0,0,0
28,20,0,0,0,0
30,21,0,0,0,0
28,22,0,0,0,0
27,22,0,0,0,0
26,22,0,0,0,0
24,22,0,0,0,0
23,22,0,0,0,0
OBJECTS
COUNT 1
0,0,PlayerSpawn,26,18
